问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,FlaUI.Core 5.0.0,,,,,"FlaUI.Core, 5.0.0  建议:  FlaUI.Core, 4.0.0"
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,FlaUI.UIA2 5.0.0,,,,,"FlaUI.UIA2, 5.0.0  建议:  FlaUI.UIA2, 4.0.0"
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,FlaUI.UIA3 5.0.0,,,,,"FlaUI.UIA3, 5.0.0  建议:  FlaUI.UIA3, 4.0.0"
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  建议:  新框架引用随附的包功能"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.CodeDom 8.0.0,,,,,"System.CodeDom, 8.0.0  建议:  Remove System.CodeDom, and replace with new package System.CodeDom 10.0.3"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Collections.Immutable 8.0.0,,,,,"System.Collections.Immutable, 8.0.0  建议:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.3"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Management 8.0.0,,,,,"System.Management, 8.0.0  建议:  Remove System.Management, and replace with new package System.Management 10.0.3"
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  建议:  新框架引用随附的包功能"
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Memory.Data 8.0.1,,,,,"System.Memory.Data, 8.0.1  建议:  Remove System.Memory.Data, and replace with new package System.Memory.Data 10.0.3"
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,XiaoYu_LAM.csproj,File,XiaoYu_LAM.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  建议:  新框架引用随附的包功能"
